time,energy,delta_L2,max_u,mean_u
0.001,13.701009928314853,1.2993678230150285,0.7959750876505747,0.0025000087377460125
0.002,12.34165876346986,0.4388467273555897,0.7075431962800205,0.0024999996732703697
0.003,11.607881812415329,0.26863965026901326,0.6565903187790673,0.0024999916513560603
0.004,11.128294417697472,0.1828802093521985,0.6225225108880261,0.0024999867667051
0.005,10.770932223017903,0.131580975556048,0.5976016331283095,0.0024999847585263643
0.006,10.480691953526913,0.10081055249461478,0.5782325912852536,0.002499984928575738
0.007,10.23290671197289,0.08249267801451851,0.5625061932905095,0.002499986561078557
0.008,10.015517963674075,0.07117154423911062,0.5493112080113853,0.002499989079040321
0.009000000000000001,9.82180617970815,0.06354753716960636,0.537955148188176,0.002499992070613091
0.01,9.647452333247934,0.05788794735575273,0.5279830034144483,0.002499995259623356
0.011,9.489350332941518,0.053350941449656734,0.5190831387325558,0.002499998466159397
0.012,9.345104060404845,0.049528592012473054,0.5110349954949557,0.002500001574400093
0.013000000000000001,9.212791015107575,0.046211321485540156,0.5036782551775514,0.0025000045102526215
0.014,9.090833961595552,0.043280596132853066,0.4968937062534396,0.0025000072268642707
0.015,8.977921264431213,0.040661670197017406,0.49059091990236153,0.0025000096953590816
0.016,8.872951543389911,0.038302870488542175,0.48470002534606704,0.00250001189901146
0.017,8.77499291533001,0.03616590079841847,0.4791661031733997,0.0025000138295358785
0.018000000000000002,8.683251795287813,0.034221029946926204,0.4739452848384455,0.002500015484659535
0.019,8.59704849721667,0.032444459937364646,0.4690019942501071,0.002500016866510807
0.02,8.515797887376987,0.030816736337133502,0.46430696832557344,0.0025000179805158133
0.021,8.438993885504406,0.029321698581838394,0.45983581711087784,0.0025000188346171507
0.022,8.366196939121423,0.027945737657760407,0.45556796272628597,0.0025000194387113034
0.023,8.297023817690114,0.0266772465234792,0.45148584759939764,0.002500019804171255
0.024,8.231139231631284,0.025506202080983073,0.4475743364080675,0.0025000199435446595
0.025,8.168248896907635,0.02442384308084218,0.4438202589632933,0.0025000198702459318
0.026000000000000002,8.108093753690437,0.02342242104073032,0.4402120568110996,0.002500019598317144
0.027,8.050445113495156,0.02249500823426291,0.4367395070103897,0.0025000191422195036
0.028,7.995100559500704,0.021635350769946937,0.433393503962313,0.0025000185166511382
0.029,7.941880463112212,0.02083775731029552,0.43016588537164757,0.0025000177363871043
0.03,7.890625009115476,0.020097015725576907,0.4270492921040982,0.0025000168161389163
0.031,7.841191644168854,0.01940833129849247,0.42403705433545436,0.00250001577043196
