time,energy,delta_L2,max_u,mean_u
0.001,13.760397844999973,1.3075686960522237,0.7962688419600709,0.0034648677200958757
0.002,12.492949281759945,0.45765791744854495,0.7082394511983194,0.004429119667474381
0.003,11.880934545597166,0.2961425192365552,0.6577753817800103,0.005392775245765135
0.004,11.550924006040427,0.21955687180575287,0.6242527867133488,0.006355837071911332
0.005,11.370093985248442,0.17822603493435413,0.5999093334201822,0.007318305403752564
0.006,11.283404055451916,0.1566444950736039,0.5811330796180989,0.008280180066142699
0.007,11.26656537414394,0.14550483837754596,0.5660040531146464,0.009241460901536842
0.008,11.307838919105379,0.1393681163603797,0.553404189337081,0.010202147941536566
0.009000000000000001,11.40067331004256,0.13555060260024537,0.5426366707356021,0.011162241430078733
0.01,11.540798885007728,0.13286854754028146,0.533243931258741,0.012121741784630128
0.011,11.725089830318167,0.13081180535625925,0.524913157712085,0.013080649548047277
0.012,11.951095153352183,0.12914850513173762,0.5174236303407588,0.014038965349800826
0.013000000000000001,12.216822009365043,0.12776105933542223,0.510615619838281,0.014996689878266732
0.014,12.520616898300585,0.12658163370125244,0.5043709770012663,0.015953823861926196
0.015,12.861090399006274,0.1255662601100266,0.49860057803860963,0.016910368056349802
0.016,13.23706410628619,0.1246839276869664,0.4932359513002863,0.017866323234895037
0.017,13.647530932997487,0.12391153224420705,0.48822356724938554,0.018821690181740684
0.018000000000000002,14.091624464577903,0.12323124899899514,0.4835208750771003,0.01977646968640683
0.019,14.568594880883538,0.1226289947004174,0.47909350976534304,0.0207306625392438
0.02,15.077789809837203,0.12209343575314083,0.4749132966055378,0.02168426952756213
0.021,15.618638946070863,0.12161530448819702,0.4709568065901627,0.022637291432229856
0.022,16.19064156758254,0.1211869090256154,0.46720429711445666,0.023589729024593827
0.023,16.79335629598516,0.12080177493317615,0.4636389254114758,0.024541583063660794
0.024,17.426392604105114,0.1204543812939009,0.46024615733180685,0.025492854293489322
0.025,18.08940369532579,0.12013996619329693,0.45701331771620773,0.026443543440764033
0.026000000000000002,18.782080471479482,0.1198543836620016,0.45392924463918866,0.02739365121253558
0.027,19.50414637656429,0.11959399856420493,0.4509840207712477,0.028343178294117078
0.028,20.25535295669092,0.11935560905888065,0.4481687626736173,0.029292125347121705
0.029,21.035476016461708,0.11913638865664057,0.44547545414704676,0.03024049300768803
0.03,21.84431228011552,0.11893384181753802,0.44289681333902897,0.031188281884776337
0.031,22.681676487476235,0.11874576863670429,0.44042618615751433,0.032135492558692615
0.032,23.54739886847194,0.1185702353905033,0.43805746016446717,0.0330821255796769
0.033,24.44132295043611,0.11840554884457184,0.4357849946725556,0.03402818146666378
0.034,25.36330365936407,0.11825023292269983,0.4336035636753104,0.03497366070615873
0.035,26.31320568121219,0.11810300697205833,0.4315083090044263,0.035918563751232584
0.036000000000000004,27.290902052948788,0.1179627652444345,0.429494701661071,0.03686289102062544
0.037,28.296272955904662,0.11782855747119195,0.42755850969217307,0.03780664289795129
0.038,29.329204686379143,0.1176995705532708,0.4256957713108263,0.03874981973099418
0.039,30.389588780647028,0.11757511145087372,0.4239027722173557,0.03969242183108638
0.04,31.477321273595372,0.11745459136784946,0.42217602628201323,0.04063444947255966
0.041,32.59230207224076,0.11733751130498676,0.4205122589143304,0.041575902892261166
0.042,33.73443442734611,0.11722344902069512,0.4189083925769029,0.04251678228912512
0.043000000000000003,34.90362448825185,0.11711204739796323,0.4173615340094228,0.04345708782379311
0.044,36.09978092784438,0.11700300417995352,0.41586896281697433,0.044396819618275817
0.045,37.322814626272965,0.1168960630067543,0.4144281211486568,0.04533597775564941
0.046,38.57263840358726,0.11679100566404624,0.41303660425136446,0.046274562279781176
0.047,39.84916679288121,0.11668764544063709,0.41169215173128826,0.04721257319507837
0.048,41.15231584679947,0.11658582148503713,0.41039263939426524,0.048150010466256506
0.049,42.48200297138181,0.11648539405015333,0.4091360715670072,0.04908687401812177
0.05,43.83814678220455,0.11638624051835335,0.4079205738257801,0.050023163735364556
0.051000000000000004,45.220666978626866,0.11628825210528504,0.40674438607836605,0.05095887946236014
0.052000000000000005,46.629484232681335,0.11619133114879755,0.4056058559600584,0.05189402100297373
0.053,48.064520089768756,0.11609538889821057,0.40450343251580684,0.05282858812036716
0.054,49.52569687884638,0.11600034372834174,0.40343566014912374,0.053762580536804466
0.055,51.01293763024016,0.11590611971165579,0.4024011728245609,0.05469599793345502
0.056,52.526165999583284,0.11581264549033268,0.4013986885149468,0.05562883995019093
0.057,54.065306196691736,0.11571985339779466,0.4004270038875437,0.056561106185378615
0.058,55.630282918442816,0.11562767878619444,0.39948498922516845,0.05749279619566155
0.059000000000000004,57.22102128493307,0.11553605952254621,0.39857158357939837,0.058423909495734186
0.06,58.837446778363415,0.11544493562159804,0.39768579015346317,0.0593544455581045
0.061,60.47948518423785,0.1153542489882763,0.3968266719124845,0.06028440381284571
0.062,62.147062534576705,0.1152639432466325,0.39599334741849773,0.06121378364733483
0.063,63.840105052930326,0.11517396363578229,0.39518498688728265,0.0621425844059783
0.064,65.5585391010529,0.11508425695641222,0.39440080846351494,0.06307080538992371
0.065,67.30229112714565,0.11499477155410913,0.3936400747101892,0.06399844585675726
0.066,69.07128761562137,0.11490545732809906,0.3929020893076979,0.06492550502018622
0.067,70.86545503836993,0.11481626575601717,0.39218619395740345,0.06585198204970684
0.068,72.68471980752265,0.11472714992710752,0.3914917654840366,0.06677787607025654
0.069,74.52900822972698,0.11463806457780237,0.3908182131307981,0.06770318616185132
0.07,76.39824646194836,0.11454896612498414,0.390164976040646,0.06862791135920729
0.07100000000000001,78.29236046881599,0.11445981269340852,0.3895315209169097,0.06955205065134745
